sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/20/159586,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,2/5/1985,187,83,Portugal,Juventus,93,93,58500000,405000,"ST, LW",Right,5,4,5,High/Low,C. Ronaldo,Yes,96500000,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,7,nan,7/10/2018,2022,LS,7,90,93,82,89,35,78,nan,nan,nan,nan,nan,nan,"Long Throw-in, Selfish, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Skilled Dribbling",84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,7,11,15,14,11,91+3,91+3,91+3,89+3,90+3,90+3,90+3,89+3,88+3,88+3,88+3,88+3,81+3,81+3,81+3,88+3,65+3,61+3,61+3,61+3,65+3,61+3,53+3,53+3,53+3,61+3
153079,https://sofifa.com/player/153079/sergio-aguero/20/159586,S. Agüero,Sergio Leonel Agüero del Castillo,31,6/2/1988,173,70,Argentina,Manchester City,89,89,60000000,300000,ST,Right,4,4,4,High/Medium,Stocky,Yes,111000000,"#Dribbler, #Clinical Finisher, #Complete Forward",ST,10,nan,7/28/2011,2021,ST,9,80,90,77,88,33,74,nan,nan,nan,nan,nan,nan,"Avoids Using Weaker Foot, Outside Foot Shot",70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,13,15,6,11,14,87+3,87+3,87+3,85+3,87+3,87+3,87+3,85+3,85+3,85+3,85+3,83+3,77+3,77+3,77+3,83+3,60+3,58+3,58+3,58+3,60+3,56+3,50+3,50+3,50+3,56+3
176580,https://sofifa.com/player/176580/luis-suarez/20/159586,L. Suárez,Luis Alberto Suárez Díaz,32,1/24/1987,182,86,Uruguay,FC Barcelona,89,89,53000000,355000,ST,Right,5,4,3,High/Medium,Normal,Yes,108700000,"#Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",ST,9,nan,7/11/2014,2021,nan,nan,73,89,80,84,51,84,nan,nan,nan,nan,nan,nan,"Diver, Speed Dribbler (CPU AI Only)",78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,27,25,31,33,37,86+5,86+5,86+5,83+5,85+5,85+5,85+5,83+5,84+5,84+5,84+5,82+5,79+5,79+5,79+5,82+5,67+5,67+5,67+5,67+5,67+5,64+5,63+5,63+5,63+5,64+5
188545,https://sofifa.com/player/188545/robert-lewandowski/20/159586,R. Lewandowski,Robert Lewandowski,30,8/21/1988,184,80,Poland,FC Bayern München,89,89,64500000,235000,ST,Right,4,4,4,High/Medium,Normal,Yes,106400000,#Clinical Finisher,ST,9,nan,7/1/2014,2021,LS,9,77,87,74,85,41,82,nan,nan,nan,nan,nan,nan,"Diver, Beat Offside Trap, Speed Dribbler (CPU AI Only), Outside Foot Shot",62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,15,6,12,8,10,86+3,86+3,86+3,82+3,85+3,85+3,85+3,82+3,83+3,83+3,83+3,80+3,77+3,77+3,77+3,80+3,61+3,62+3,62+3,62+3,61+3,58+3,57+3,57+3,57+3,58+3
194765,https://sofifa.com/player/194765/antoine-griezmann/20/159586,A. Griezmann,Antoine Griezmann,28,3/21/1991,176,73,France,FC Barcelona,89,89,69000000,370000,"CF, ST, LW",Left,4,3,4,High/High,Normal,Yes,141500000,"#Dribbler, #Engine, #Acrobat, #Clinical Finisher, #Complete Forward",LW,17,nan,7/12/2019,2024,CAM,7,81,86,84,89,57,72,nan,nan,nan,nan,nan,nan,"Beat Offside Trap, Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite",83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,14,8,14,13,14,85+3,85+3,85+3,87+3,87+3,87+3,87+3,87+3,87+3,87+3,87+3,86+3,83+3,83+3,83+3,86+3,73+3,71+3,71+3,71+3,73+3,70+3,65+3,65+3,65+3,70+3
179813,https://sofifa.com/player/179813/edinson-cavani/20/159586,E. Cavani,Edinson Roberto Cavani Gómez,32,2/14/1987,185,77,Uruguay,Paris Saint-Germain,88,88,47000000,195000,ST,Right,4,4,3,High/High,Lean,Yes,87000000,#Engine,ST,9,nan,7/16/2013,2020,nan,nan,75,86,72,79,55,83,nan,nan,nan,nan,nan,nan,Long Passer (CPU AI Only),70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,12,5,13,13,10,85+3,85+3,85+3,80+3,83+3,83+3,83+3,80+3,80+3,80+3,80+3,79+3,75+3,75+3,75+3,79+3,68+3,66+3,66+3,66+3,68+3,66+3,65+3,65+3,65+3,66+3
188350,https://sofifa.com/player/188350/marco-reus/20/159586,M. Reus,Marco Reus,30,5/31/1989,180,71,Germany,Borussia Dortmund,88,88,56000000,170000,"CAM, LM, ST",Right,4,4,4,High/Medium,Lean,Yes,92400000,"#Dribbler, #Playmaker  , #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",CAM,11,nan,7/1/2012,2023,ST,11,85,88,84,87,45,66,nan,nan,nan,nan,nan,nan,"Power Free-Kick, Avoids Using Weaker Foot, Beat Offside Trap, Argues with Officials, Early Crosser, Finesse Shot, Speed Dribbler (CPU AI Only)",82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,12,12,13,13,11,82+3,82+3,82+3,86+3,86+3,86+3,86+3,86+3,86+3,86+3,86+3,85+3,80+3,80+3,80+3,85+3,69+3,65+3,65+3,65+3,69+3,64+3,55+3,55+3,55+3,64+3
188567,https://sofifa.com/player/188567/pierre-emerick-aubameyang/20/159586,P. Aubameyang,Pierre-Emerick Aubameyang,30,6/18/1989,187,80,Gabon,Arsenal,88,88,57000000,205000,"ST, LM",Right,3,4,4,Medium/Low,Lean,Yes,108300000,"#Poacher, #Speedster, #Complete Forward",LM,14,nan,1/31/2018,2021,nan,nan,94,85,75,80,37,69,nan,nan,nan,nan,nan,nan,"Diver, Beat Offside Trap, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot",76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,6,9,15,9,9,84+3,84+3,84+3,83+3,83+3,83+3,83+3,83+3,81+3,81+3,81+3,81+3,74+3,74+3,74+3,81+3,64+3,58+3,58+3,58+3,64+3,61+3,51+3,51+3,51+3,61+3
165153,https://sofifa.com/player/165153/karim-benzema/20/159586,K. Benzema,Karim Benzema,31,12/19/1987,185,81,France,Real Madrid,87,87,45000000,285000,"CF, ST",Right,4,4,4,Medium/Low,Normal,Yes,92300000,nan,CF,9,nan,7/9/2009,2021,nan,nan,76,82,80,86,39,77,nan,nan,nan,nan,nan,nan,"Finesse Shot, Speed Dribbler (CPU AI Only), Giant Throw-in",75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,13,11,5,5,7,83+3,83+3,83+3,83+3,84+3,84+3,84+3,83+3,84+3,84+3,84+3,82+3,78+3,78+3,78+3,82+3,62+3,62+3,62+3,62+3,62+3,58+3,54+3,54+3,54+3,58+3
175943,https://sofifa.com/player/175943/dries-mertens/20/159586,D. Mertens,Dries Mertens,32,5/6/1987,169,61,Belgium,Napoli,87,87,40000000,135000,"CF, ST",Right,3,4,4,High/Low,Normal,Yes,68000000,"#Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",SUB,14,nan,7/1/2013,2020,RF,14,88,83,80,91,35,53,nan,nan,nan,nan,nan,nan,"Beat Offside Trap, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite, Skilled Dribbling",79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,78+3,78+3,78+3,86+3,85+3,85+3,85+3,86+3,85+3,85+3,85+3,85+3,78+3,78+3,78+3,85+3,65+3,60+3,60+3,60+3,65+3,60+3,46+3,46+3,46+3,60+3
